SampleID,Plate_number,Plate_position,Site_Name,Sex,Dev_stage,Sample_date,Sample_timing,Site_number,Site_type,Nest_placed_date,Date_extracted,Qiagen_kit
RF245.009.Plate1.A2.ITS12.Moreau.F,1,A2,Moreau,F,e,5/5/2022,early,8,Residential,4/5/2022,7/27/2022,14
RF245.010.Plate1.B2.ITS12.Moreau.F,1,B2,Moreau,F,e,5/5/2022,early,8,Residential,4/5/2022,7/27/2022,14
RF245.011.Plate1.C2.ITS12.Moreau.M,1,C2,Moreau,M,e,5/5/2022,early,8,Residential,4/5/2022,7/27/2022,14
RF245.012.Plate1.D2.ITS12.Moreau.M,1,D2,Moreau,M,e,5/5/2022,early,8,Residential,4/5/2022,7/27/2022,14
RF245.013.Plate1.E2.ITS12.Moreau.F,1,E2,Moreau,F,e,5/5/2022,early,8,Residential,4/5/2022,7/27/2022,14
RF245.014.Plate1.F2.ITS12.Moreau.F,1,F2,Moreau,F,e,5/5/2022,early,8,Residential,4/5/2022,7/27/2022,14
RF245.015.Plate1.G2.ITS12.Moreau.M,1,G2,Moreau,M,e,5/5/2022,early,8,Residential,4/5/2022,7/27/2022,14
RF245.016.Plate1.H2.ITS12.Moreau.M,1,H2,Moreau,M,e,5/5/2022,early,8,Residential,4/5/2022,7/27/2022,14
RF245.033.Plate1.B5.ITS12.Cornell.F,1,B5,Cornell,F,e,5/11/2022,early,11,Orchard,4/5/2022,7/28/2022,15
RF245.034.Plate1.C5.ITS12.Cornell.F,1,C5,Cornell,F,e,5/11/2022,early,11,Orchard,4/5/2022,7/28/2022,15
RF245.035.Plate1.D5.ITS12.Cornell.M,1,D5,Cornell,M,e,5/11/2022,early,11,Orchard,4/5/2022,7/28/2022,15
RF245.036.Plate1.E5.ITS12.Cornell.M,1,E5,Cornell,M,e,5/11/2022,early,11,Orchard,4/5/2022,7/28/2022,15
RF245.037.Plate1.F5.ITS12.Cornell.F,1,F5,Cornell,F,e,5/11/2022,early,11,Orchard,4/5/2022,7/28/2022,15
RF245.038.Plate1.G5.ITS12.Cornell.F,1,G5,Cornell,F,e,5/11/2022,early,11,Orchard,4/5/2022,7/28/2022,15
RF245.039.Plate1.H5.ITS12.Cornell.M,1,H5,Cornell,M,e,5/11/2022,early,11,Orchard,4/5/2022,7/28/2022,15
RF245.089.Plate1.D12.ITS12.SwanHillRdS.F,1,D12,SwanHillRd_S,F,e,5/16/2022,early,5,Forest,4/5/2022,8/1/2022,16
RF245.090.Plate1.E12.ITS12.SwanHillRdS.F,1,E12,SwanHillRd_S,F,e,5/16/2022,early,5,Forest,4/5/2022,8/1/2022,16
RF245.091.Plate1.F12.ITS12.SwanHillRdS.F,1,F12,SwanHillRd_S,F,e,5/16/2022,early,5,Forest,4/5/2022,8/1/2022,16
RF245.092.Plate1.G12.ITS12.SwanHillRdS.M,1,G12,SwanHillRd_S,M,e,5/23/2022,early,5,Forest,4/5/2022,8/1/2022,16
RF245.093.Plate2.A1.ITS12.SwanHillRdS.M,2,A1,SwanHillRd_S,M,e,5/23/2022,early,5,Forest,4/5/2022,8/1/2022,16
RF245.094.Plate2.C1.ITS12.SwanHillRdS.F,2,C1,SwanHillRd_S,F,e,5/23/2022,early,5,Forest,4/5/2022,8/3/2022,17
RF245.095.Plate2.D1.ITS12.SwanHillRdS.M,2,D1,SwanHillRd_S,M,e,5/23/2022,early,5,Forest,4/5/2022,8/3/2022,17
RF245.096.Plate2.E1.ITS12.SwanHillRdS.M,2,E1,SwanHillRd_S,M,e,5/23/2022,early,5,Forest,4/5/2022,8/3/2022,17
RF245.129.Plate2.F5.ITS12.Moreau.F,2,F5,Moreau,F,e,5/18/2022,late,8,Residential,4/5/2022,8/3/2022,17
RF245.130.Plate2.G5.ITS12.Moreau.F,2,G5,Moreau,F,e,5/18/2022,late,8,Residential,4/5/2022,8/3/2022,17
RF245.131.Plate2.H5.ITS12.Moreau.M,2,H5,Moreau,M,e,5/18/2022,late,8,Residential,4/5/2022,8/3/2022,17
RF245.132.Plate2.A6.ITS12.Moreau.M,2,A6,Moreau,M,e,5/18/2022,late,8,Residential,4/5/2022,8/3/2022,17
RF245.133.Plate2.B6.ITS12.Moreau.F,2,B6,Moreau,F,fl,5/18/2022,late,8,Residential,4/5/2022,8/3/2022,17
RF245.134.Plate2.C6.ITS12.Moreau.F,2,C6,Moreau,F,fl,5/18/2022,late,8,Residential,4/5/2022,8/3/2022,17
RF245.135.Plate2.D6.ITS12.Moreau.M,2,D6,Moreau,M,fl,5/18/2022,late,8,Residential,4/5/2022,8/3/2022,17
RF245.136.Plate2.E6.ITS12.Moreau.M,2,E6,Moreau,M,e,5/18/2022,late,8,Residential,4/5/2022,8/3/2022,17
RF245.161.Plate2.H9.ITS12.Cornell.F,2,H9,Cornell,F,e,5/18/2022,late,11,Orchard,4/5/2022,8/5/2022,20
RF245.162.Plate2.A10.ITS12.Cornell.F,2,A10,Cornell,F,e,5/18/2022,late,11,Orchard,4/5/2022,8/5/2022,20
RF245.163.Plate2.B10.ITS12.Cornell.M,2,B10,Cornell,M,e,5/18/2022,late,11,Orchard,4/5/2022,8/5/2022,20
RF245.164.Plate2.C10.ITS12.Cornell.M,2,C10,Cornell,M,e,5/18/2022,late,11,Orchard,4/5/2022,8/5/2022,20
RF245.165.Plate2.D10.ITS12.Cornell.F,2,D10,Cornell,F,fl,5/18/2022,late,11,Orchard,4/5/2022,8/5/2022,20
RF245.166.Plate2.E10.ITS12.Cornell.F,2,E10,Cornell,F,e,5/18/2022,late,11,Orchard,4/5/2022,8/5/2022,20
RF245.167.Plate2.F10.ITS12.Cornell.M,2,F10,Cornell,M,e,5/18/2022,late,11,Orchard,4/5/2022,8/5/2022,20
RF245.168.Plate2.G10.ITS12.Cornell.M,2,G10,Cornell,M,e,5/18/2022,late,11,Orchard,4/5/2022,8/5/2022,20
RF245.233.Plate3.C7.ITS12.SwanHillRdS.F,3,C7,SwanHillRd_S,F,e,5/31/2022,late,5,Forest,4/5/2022,8/22/2022,20
RF245.234.Plate3.D7.ITS12.SwanHillRdS.F,3,D7,SwanHillRd_S,F,fl,5/31/2022,late,5,Forest,4/5/2022,8/22/2022,20
RF245.235.Plate3.E7.ITS12.SwanHillRdS.M,3,E7,SwanHillRd_S,M,e,5/31/2022,late,5,Forest,4/5/2022,8/22/2022,20
RF245.236.Plate3.F7.ITS12.SwanHillRdS.M,3,F7,SwanHillRd_S,M,e,5/31/2022,late,5,Forest,4/5/2022,9/16/2022,20
RF245.237.Plate3.G7.ITS12.SwanHillRdS.F,3,G7,SwanHillRd_S,F,e,5/31/2022,late,5,Forest,4/5/2022,9/16/2022,20
RF245.238.Plate3.H7.ITS12.SwanHillRdS.M,3,H7,SwanHillRd_S,M,e,5/31/2022,late,5,Forest,4/5/2022,9/16/2022,20
RF245.239.Plate3.A8.ITS12.SwanHillRdS.F,3,A8,SwanHillRd_S,F,e,5/31/2022,late,5,Forest,4/5/2022,9/16/2022,20
RF245.240.Plate3.B8.ITS12.SwanHillRdS.F,3,B8,SwanHillRd_S,F,e,5/31/2022,late,5,Forest,4/5/2022,9/16/2022,20
